tj_id,c,1b,2b,ss,3b,of,util,sp,rp
ryanjeffers,True,False,False,False,False,False,True,False,False
anthonybender,False,False,False,False,False,False,False,False,True
evancarter,False,False,False,False,False,True,True,False,False
ryanmcmahon,False,False,False,False,True,False,True,False,False
brooksraley,False,False,False,False,False,False,False,False,True
dylanbeavers,False,False,False,False,False,True,True,False,False
hunterharvey,False,False,False,False,False,False,False,False,True
justinsteele,False,False,False,False,False,False,False,True,False
marcelomayer,False,False,False,False,True,False,True,False,False
parkermessick,False,False,False,False,False,False,False,True,False
ajminter,False,False,False,False,False,False,False,False,True
drewpomeranz,False,False,False,False,False,False,False,False,True
austinhays,False,False,False,False,False,True,True,False,False
jordanromano,False,False,False,False,False,False,False,False,True
eduardbazardo,False,False,False,False,False,False,False,False,True
carmenmlodzinski,False,False,False,False,False,False,False,True,True
mikeburrows,False,False,False,False,False,False,False,True,False
brendonlittle,False,False,False,False,False,False,False,False,True
deankremer,False,False,False,False,False,False,False,True,False
spencerhorwitz,False,True,False,False,False,False,True,False,False
joeyortiz,False,False,False,True,False,False,True,False,False
franciscoalvarez,True,False,False,False,False,False,True,False,False
chrismartin,False,False,False,False,False,False,False,False,True
simeonwoodsrichardson,False,False,False,False,False,False,False,True,False
stevenokert,False,False,False,False,False,False,False,False,True
andrewnardi,False,False,False,False,False,False,False,False,True
tyleroneill,False,False,False,False,False,True,True,False,False
mattfesta,False,False,False,False,False,False,False,False,True
parkermeadows,False,False,False,False,False,True,True,False,False
braydonfisher,False,False,False,False,False,False,False,False,True
carsonkelly,True,False,False,False,False,False,True,False,False
miguelandujar,False,False,False,False,True,True,True,False,False
chadpatrick,False,False,False,False,False,False,False,True,False
joseberrios,False,False,False,False,False,False,False,True,False
connorphillips,False,False,False,False,False,False,False,False,True
zacheflin,False,False,False,False,False,False,False,True,False
ryanthompson,False,False,False,False,False,False,False,False,True
wenceelperez,False,False,False,False,False,True,True,False,False
ryanweathers,False,False,False,False,False,False,False,True,False
justinslaten,False,False,False,False,False,False,False,False,True
kebryanhayes,False,False,False,False,True,False,True,False,False
blaketreinen,False,False,False,False,False,False,False,False,True
