,name,name_ascii,fg_id,mlb_id,espn_id,tj_id
366,José Leclerc,Jose Leclerc,14524,600917,33926,joseleclerc
367,Colin Rea,Colin Rea,12317,607067,33950,colinrea
368,Jose Siri,Jose Siri,17452,642350,33954,josesiri
369,Mike Tauchman,Mike Tauchman,15274,643565,33956,miketauchman
370,Yoán Moncada,Yoan Moncada,17232,660162,33984,yoanmoncada
371,Tyler Rogers,Tyler Rogers,15541,643511,34026,tylerrogers
372,Fernando Cruz,Fernando Cruz,7048,518585,34068,fernandocruz
373,Tony Kemp,Tony Kemp,14894,643393,34083,tonykemp
374,Jacob Stallings,Jacob Stallings,13723,607732,34089,jacobstallings
375,Tyler Kinley,Tyler Kinley,18297,641755,34166,tylerkinley
376,Tyler O'Neill,Tyler O'Neill,15711,641933,34168,tyleroneill
377,Erick Mejia,Erick Mejia,15817,,34170,erickmejia
378,Greg Allen,Greg Allen,16623,656185,34187,gregallen
379,Willi Castro,Willi Castro,17338,650489,34230,willicastro
380,Omar Narváez,Omar Narvaez,13338,553882,34254,omarnarvaez
381,Rowdy Tellez,Rowdy Tellez,15679,642133,34287,rowdytellez
382,Matthew Boyd,Matthew Boyd,15440,571510,34401,matthewboyd
383,Joey Meneses,Joey Meneses,14366,608841,34534,joeymeneses
384,Anthony Banda,Anthony Banda,14706,607455,34542,anthonybanda
385,Ben Heller,Ben Heller,15100,621294,34699,benheller
386,Scott McGough,Scott McGough,12056,543518,34834,scottmcgough
387,Michael Fulmer,Michael Fulmer,13218,605242,34842,michaelfulmer
388,Joe Musgrove,Joe Musgrove,12970,605397,34848,joemusgrove
389,Matt Koch,Matt Koch,13420,571863,34849,mattkoch
390,JT Chargois,JT Chargois,13767,608638,34854,jtchargois
391,Carlos Estévez,Carlos Estevez,14542,608032,34861,carlosestevez
392,Matt Strahm,Matt Strahm,13799,621381,34862,mattstrahm
393,Jacob Barnes,Jacob Barnes,12323,606930,34868,jacobbarnes
394,Seth Lugo,Seth Lugo,12447,607625,34873,sethlugo
395,Germán Márquez,German Marquez,15038,608566,34874,germanmarquez
396,Alex Bregman,Alex Bregman,17678,608324,34886,alexbregman
