tj_id,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e,total_25
shotaimanaga,382.69276,365.0,-17.69276000000002,373.84638,389.5,-6.807239999999979,364.3
joemusgrove,337.840945,409.0,71.15905500000002,373.42047249999996,358.5,-20.659055000000023,0.0
treyyesavage,346.73457999999994,399.5,52.76542000000006,373.11728999999997,313.5,33.23457999999994,39.0
chaseburns,362.14963,383.5,21.350369999999998,372.824815,402.5,-40.35037,103.2
edwardcabrera,345.01359500000007,400.5,55.486404999999934,372.75679750000006,395.5,-50.486404999999934,361.8
willicastro,370.52896,372.11224000000004,1.5832800000000589,371.3206,330.0,40.528959999999984,309.0
yainerdiaz,374.26857,367.348037,-6.9205330000000345,370.80830349999997,412.0,-37.73142999999999,376.0
caseymize,353.40736,387.0,33.59264000000002,370.20367999999996,298.5,54.90735999999998,417.0
chrisbassitt,355.471225,383.5,28.028774999999996,369.4856125,360.5,-5.028774999999996,427.2
drakebaldwin,386.08215099999995,352.177649,-33.90450199999998,369.12989999999996,412.0,-25.917849000000047,367.0
luisgarciajr,371.42677,366.15925,-5.26751999999999,368.79301,406.0,-34.573230000000024,391.0
seranthonydominguez,371.859425,364.0,-7.8594249999999874,367.9297125,322.5,49.35942499999999,201.3
jeffreysprings,373.153745,361.5,-11.653745000000015,367.32687250000004,372.5,0.6537450000000149,407.0
reiddetmers,336.2269339999999,398.0,61.773066000000085,367.11346699999996,318.0,18.226933999999915,216.8
mattwallner,374.22246,359.960211,-14.262248999999997,367.0913355,366.0,8.222460000000012,305.0
agustinramirez,373.08718999999996,360.662206,-12.424983999999938,366.87469799999997,455.0,-81.91281000000004,437.0
andresgimenez,371.86897,361.23216,-10.636809999999969,366.550565,376.0,-4.13103000000001,237.0
salstewart,365.09838799999994,360.529108,-4.569279999999935,362.813748,360.0,5.098387999999943,52.0
roycelewis,371.894312,353.540595,-18.353717000000017,362.71745350000003,336.0,35.89431200000001,282.0
codyponce,332.08919,393.0,60.910810000000026,362.54459499999996,356.5,-24.410810000000026,0.0
maxmuncy,363.82652,360.56838999999997,-3.258130000000051,362.197455,366.0,-2.1734799999999836,340.0
jeffmcneil,366.39558999999997,357.5134599999999,-8.882130000000075,361.95452499999993,333.0,33.39558999999997,323.0
ryanohearn,363.81384,358.97538,-4.838460000000055,361.39461,393.0,-29.186159999999973,409.0
zackwheeler,347.535245,375.0,27.464755000000025,361.2676225,369.5,-21.964755000000025,480.3
michaelwacha,370.58261,351.0,-19.58260999999999,360.79130499999997,412.5,-41.91739000000001,389.8
tatsuyaimai,347.5724949999999,374.0,26.42750500000011,360.78624749999994,358.5,-10.92750500000011,0.0
salfrelick,373.22366999999997,347.07278,-26.150889999999947,360.148225,428.0,-54.77633000000003,445.0
brycemiller,344.360105,369.0,24.639895000000024,356.6800525,338.0,6.360104999999976,172.7
clayholmes,354.8429300000001,355.5,0.6570699999999192,355.171465,385.5,-30.65706999999992,400.8
jamesontaillon,355.72393,354.5,-1.2239299999999957,355.111965,301.0,54.723929999999996,345.8
ernieclement,359.20489,349.49814,-9.70675,354.35151499999995,360.0,-0.7951100000000224,392.0
brayanbello,358.71516500000007,349.5,-9.21516500000007,354.10758250000003,387.5,-28.78483499999993,400.8
jonathanindia,345.78522,362.02451,16.23929000000004,353.904865,393.0,-47.21478000000002,347.0
bubbachandler,335.381244,368.5,33.11875600000002,351.94062199999996,354.0,-18.61875600000002,113.7
alejandrokirk,345.985407,356.70035,10.714943000000005,351.3428785,339.0,6.985407000000009,362.0
joeyortiz,352.98272,348.23978,-4.742939999999976,350.61125,376.0,-23.017280000000028,314.0
harrisonbader,346.72322,353.55731000000003,6.834090000000003,350.140265,346.0,0.7232200000000262,388.0
joshlowe,355.05136000000005,342.96831,-12.083050000000071,349.009835,393.0,-37.948639999999955,313.0
jorgesoler,344.56012300000003,353.23302799999993,8.6729049999999,348.8965755,343.0,1.5601230000000328,204.0
marcellozuna,350.68046580000004,346.78173889100003,-3.898726909000004,348.73110234550006,445.0,-94.31953419999996,422.0
seanmanaea,333.84565499999997,363.0,29.154345000000035,348.4228275,243.5,90.34565499999997,137.8
jaccaglianone,354.33642000000003,341.05834000000004,-13.278079999999989,347.69738000000007,398.0,-43.66357999999997,123.0
