tjid,fgId,NameASCII,org,pos,age,jersey
ryanthompson,16647,Ryan Thompson,ARI,RP,34,81
wenceelperez,22857,Wenceel Perez,DET,OF,26,46
ryanweathers,23796,Ryan Weathers,NYY,SP,26,40
justinslaten,25648,Justin Slaten,BOS,RP,28,63
kebryanhayes,18577,Ke'Bryan Hayes,CIN,3B,29,3
blaketreinen,12572,Blake Treinen,LAD,RP,38,49
jordanbeck,31431,Jordan Beck,COL,OF,25,27
kodyfunderburk,24993,Kody Funderburk,MIN,RP,29,57
andrewvaughn,26197,Andrew Vaughn,MIL,1B,28,28
alexisdiaz,21132,Alexis Diaz,TEX,RP,29,48
dustinmay,19716,Dustin May,STL,SP,28,3
gregweissert,20375,Greg Weissert,BOS,RP,31,57
isaaccollins,25477,Isaac Collins,KCR,OF,28,1
paytontolle,35466,Payton Tolle,BOS,SP,23,70
piercejohnson,13435,Pierce Johnson,CIN,RP,35,52
erikmiller,26252,Erik Miller,SFG,RP,28,68
seannewcomb,16943,Sean Newcomb,CHW,RP,33,15
justinwrobleski,31204,Justin Wrobleski,LAD,RP,25,70
masonmontgomery,29770,Mason Montgomery,PIT,RP,26,46
ryanzeferjahn,25420,Ryan Zeferjahn,LAA,RP,28,56
haseongkim,27506,Ha-Seong Kim,ATL,SS,30,7
jordanlawlar,29976,Jordan Lawlar,ARI,3B,23,10
dominiccanzone,26438,Dominic Canzone,SEA,OF,28,8
porterhodge,26413,Porter Hodge,CHC,RP,25,37
tylermahle,16358,Tyler Mahle,SFG,SP,31,54
luisgil,21052,Luis Gil,NYY,SP,28,81
nolangorman,22263,Nolan Gorman,STL,3B,26,16
yarielrodriguez,33838,Yariel Rodriguez,TOR,RP,29,29
jakemeyers,20308,Jake Meyers,HOU,OF,30,6
grahamashcraft,27552,Graham Ashcraft,CIN,RP,28,23
davidrobertson,8241,David Robertson,FA,RP,41,30
michaelmcgreevy,29869,Michael McGreevy,STL,SP,25,36
tylerstephenson,17988,Tyler Stephenson,CIN,C,29,37
camsmith,35108,Cam Smith,HOU,OF,23,11
bradyhouse,29993,Brady House,WSN,3B,23,12
coleyoung,31680,Cole Young,SEA,2B,22,2
yenniercano,25911,Yennier Cano,BAL,RP,32,78
kylekarros,33252,Kyle Karros,COL,3B,23,12
luisseverino,15890,Luis Severino,ATH,SP,32,40
christianmoore,34979,Christian Moore,LAA,2B,23,4
masatakayoshida,31837,Masataka Yoshida,BOS,DH,32,7
