tjid,NameASCII,fgId,Name,Org,Pos,PlayerId,Age,_merge
gyebeompark,Gye-beom Park,sa3012458,,,,,,left_only
yoonsukoh,Yoon-suk Oh,sa3012464,,,,,,left_only
changjinlee,Chang-jin Lee,sa3012466,,,,,,left_only
yuyeongkim,Yu-yeong Kim,sa3012469,,,,,,left_only
chanhopark,Chan-ho Park,sa3012474,,,,,,left_only
yeongujo,Yeong-u Jo,sa3012483,,,,,,left_only
taejinkim,Tae-jin Kim,sa3012499,,,,,,left_only
jaewhanbae,Jae-whan Bae,sa3012500,,,,,,left_only
minsukim,Min-su Kim,sa3012504,,,,,,left_only
sangbaekeom,Sang-baek Eom,sa3012505,,,,,,left_only
kwonju,Kwon Ju,sa3012508,,,,,,left_only
seunghyeonbaek,Seung-hyeon Baek,sa3012512,,,,,,left_only
sangkyulee,Sang-kyu Lee,sa3012514,,,,,,left_only
jaeseongkim,Jae-seong Kim,sa3012516,,,,,,left_only
minjaeshin,Min-jae Shin,sa3012520,,,,,,left_only
minhyeokkim,Min-hyeok Kim,sa3012522,,,,,,left_only
wontaechoi,Won-tae Choi,sa3012525,,,,,,left_only
taekhyeongkim,Taek-hyeong Kim,sa3012526,,,,,,left_only
jeongyongchoi,Jeong-yong Choi,sa3012537,,,,,,left_only
jeseongbae,Je-seong Bae,sa3012544,,,,,,left_only
daeinhwang,Dae-in Hwang,sa3012545,,,,,,left_only
jungsoopark,Jung-soo Park,sa3012548,,,,,,left_only
horyungkim,Ho-ryung Kim,sa3012550,,,,,,left_only
junyounglee,Jun-young Lee,sa3012552,,,,,,left_only
doyunlee,Do-yun Lee,sa3012554,,,,,,left_only
hyunsangjoo,Hyun-sang Joo,sa3012555,,,,,,left_only
beomsukim,Beom-su Kim,sa3012557,,,,,,left_only
woongbinkim,Woong-bin Kim,sa3012561,,,,,,left_only
seungminchoi,Seung-min Choi,sa3012562,,,,,,left_only
changmokoo,Chang-mo Koo,sa3012564,,,,,,left_only
changkihong,Chang-ki Hong,sa3012570,,,,,,left_only
kiyeonkim,Ki-yeon Kim,sa3012571,,,,,,left_only
jusungkim,Ju-sung Kim,sa3012574,,,,,,left_only
soohaengjo,Soo-haeng Jo,sa3012578,,,,,,left_only
younghalee,Young-ha Lee,sa3012579,,,,,,left_only
hyosangjoo,Hyo-sang Joo,sa3012583,,,,,,left_only
juhyeongan,Ju-hyeong An,sa3012586,,,,,,left_only
sunggyulee,Sung-gyu Lee,sa3012587,,,,,,left_only
chungyeonchoi,Chung-yeon Choi,sa3012589,,,,,,left_only
wonjunchoi,Won-jun Choi,sa3012595,,,,,,left_only
sanghyunjeon,Sang-hyun Jeon,sa3012596,,,,,,left_only
jinyounglee,Jin-young Lee,sa3012598,,,,,,left_only
beomsooshin,Beom-soo Shin,sa3012601,,,,,,left_only
taeyeankim,Tae-yean Kim,sa3012603,,,,,,left_only
jinhyukjang,Jin-hyuk Jang,sa3012604,,,,,,left_only
inhwankim,In-hwan Kim,sa3012607,,,,,,left_only
dongyoonchung,Dong-yoon Chung,sa3012614,,,,,,left_only
sanghyeonahn,Sang-hyeon Ahn,sa3012616,,,,,,left_only
chanhyungkim,Chan-hyung Kim,sa3012617,,,,,,left_only
sungyoungchoi,Sung-young Choi,sa3012618,,,,,,left_only
junyoungpark,Jun-young Park,sa3012619,,,,,,left_only
taehundo,Tae-hun Do,sa3012620,,,,,,left_only
hyeonbinhong,Hyeon-bin Hong,sa3012624,,,,,,left_only
chiyoungan,Chi-young An,sa3012625,,,,,,left_only
junghyunlee,Jung-hyun Lee,sa3012626,,,,,,left_only
seokjoooh,Seok-joo Oh,sa3012629,,,,,,left_only
juyoungson,Ju-young Son,sa3012633,,,,,,left_only
yuchanlee,Yu-chan Lee,sa3012635,,,,,,left_only
myeongsinkim,Myeong-sin Kim,sa3012636,,,,,,left_only
wonjoonchoi,Won-joon Choi,sa3012637,,,,,,left_only
chigukpark,Chi-guk Park,sa3012638,,,,,,left_only
seongyoonkim,Seong-yoon Kim,sa3012644,,,,,,left_only
jongdeokna,Jong-deok Na,sa3012648,,,,,,left_only
seongpinyoon,Seong-pin Yoon,sa3012649,,,,,,left_only
seokhwankim,Seok-hwan Kim,sa3012653,,,,,,left_only
seungcheolyoo,Seung-cheol Yoo,sa3012654,,,,,,left_only
jeonghunlee,Jeong-hun Lee,sa3012655,,,,,,left_only
sangwonpark,Sang-won Park,sa3012657,,,,,,left_only
seonghanpark,Seong-han Park,sa3012661,,,,,,left_only
rheehyunso,Rhee-hyun So,sa3012662,,,,,,left_only
minkim,Min Kim,sa3012664,,,,,,left_only
baekhokang,Baek-ho Kang,sa3012665,,,,,,left_only
sungjumoon,Sung-ju Moon,sa3012668,,,,,,left_only
donghyunsung,Dong-hyun Sung,sa3012670,,,,,,left_only
mingyukim,Min-gyu Kim,sa3012671,,,,,,left_only
minjaejeon,Min-jae Jeon,sa3012673,,,,,,left_only
beengwak,Been Gwak,sa3012674,,,,,,left_only
shinzipark,Shin-zi Park,sa3012675,,,,,,left_only
jaehyunchoo,Jae-hyun Choo,sa3012679,,,,,,left_only
changseopyang,Chang-seop Yang,sa3012682,,,,,,left_only
chaeheungchoi,Chae-heung Choi,sa3012683,,,,,,left_only
sungjongchung,Sung-jong Chung,sa3012688,,,,,,left_only
junyoungha,Jun-young Ha,sa3012691,,,,,,left_only
wonseoklee,Won-seok Lee,sa3012693,,,,,,left_only
jeongwookim,Jeong-woo Kim,sa3012696,,,,,,left_only
minjunchoi,Min-jun Choi,sa3012698,,,,,,left_only
junwoochoi,Jun-woo Choi,sa3012699,,,,,,left_only
